"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"6157","Wangerland-Hooksiel","8,0809","53,6411","4.0","https://cdc.dwd.de/rest/metadata/station/html/812300809191"
"3621","Reimlingen","10,5067","48,8253","435.0","https://cdc.dwd.de/rest/metadata/station/html/812300033127"
"7396","Hoherodskopf/Vogelsberg","9,2246","50,5084","740.0","https://cdc.dwd.de/rest/metadata/station/html/812300071207"
"4878","Oberharz am Brocken-Stiege","10,8811","51,6646","504.0","https://cdc.dwd.de/rest/metadata/station/html/812300334503"
"2794","Kyritz","12,4093","52,9362","40.0","https://cdc.dwd.de/rest/metadata/station/html/812300438631"
"4036","Querfurt-Mühle Lodersleben","11,5412","51,3895","206.0","https://cdc.dwd.de/rest/metadata/station/html/812300527207"
"7373","Borkum-Flugplatz","6,7024","53,5984","3.0","https://cdc.dwd.de/rest/metadata/station/html/812300633895"
"2700","Kösching","11,4872","48,8302","416.0","https://cdc.dwd.de/rest/metadata/station/html/812300734311"
"6197","Lügde-Paenbruch","9,2710","51,8664","258.0","https://cdc.dwd.de/rest/metadata/station/html/812300056231"
"2559","Kempten","10,3348","47,7233","705.0","https://cdc.dwd.de/rest/metadata/station/html/812300909607"
"5541","Wiesbaden-Auringen","8,3169","50,1321","263.0","https://cdc.dwd.de/rest/metadata/station/html/812300952679"
"3086","Lübeck-Blankensee","10,6989","53,8025","15.0","https://cdc.dwd.de/rest/metadata/station/html/812300024423"
"1735","Grainet-Rehberg","13,6290","48,7894","628.0","https://cdc.dwd.de/rest/metadata/station/html/812300260199"
"7075","Elsendorf-Horneck","11,8493","48,7020","429.0","https://cdc.dwd.de/rest/metadata/station/html/812300371879"
"6093","Wendisch Evern","10,4704","53,2139","62.0","https://cdc.dwd.de/rest/metadata/station/html/812300103015"
"320","Heinersreuth-Vollhof","11,5198","49,9666","350.0","https://cdc.dwd.de/rest/metadata/station/html/812300667559"
"3032","List auf Sylt","8,4125","55,0110","25.0","https://cdc.dwd.de/rest/metadata/station/html/812300318247"
"377","Bergzabern, Bad","7,9967","49,1070","210.0","https://cdc.dwd.de/rest/metadata/station/html/812300692519"
"3668","Nürnberg","11,0549","49,5030","314.0","https://cdc.dwd.de/rest/metadata/station/html/812300445479"
"73","Aldersbach-Kramersepp","13,0620","48,6183","374.0","https://cdc.dwd.de/rest/metadata/station/html/812300311975"
"298","Barth","12,7108","54,3405","3.0","https://cdc.dwd.de/rest/metadata/station/html/812300602087"
"1197","Ellwangen-Rindelbach","10,1312","48,9895","463.0","https://cdc.dwd.de/rest/metadata/station/html/812300766119"
"4287","Rothenburg ob der Tauber","10,1732","49,3849","415.0","https://cdc.dwd.de/rest/metadata/station/html/812300011303"
"2211","Hilgenroth","7,6525","50,7370","295.0","https://cdc.dwd.de/rest/metadata/station/html/812300929575"
"2252","Bertsdorf-Hörnitz","14,7456","50,8992","271.0","https://cdc.dwd.de/rest/metadata/station/html/812300156071"
"3811","Oschatz","13,0928","51,2960","151.0","https://cdc.dwd.de/rest/metadata/station/html/812300707495"
"5779","Zinnwald-Georgenfeld","13,7516","50,7313","877.0","https://cdc.dwd.de/rest/metadata/station/html/812300119847"
"5029","Tholey","7,0385","49,4737","387.0","https://cdc.dwd.de/rest/metadata/station/html/812300824167"
"4177","Rheinstetten","8,3301","48,9726","116.0","https://cdc.dwd.de/rest/metadata/station/html/812300951399"
"5100","Trier-Petrisberg","6,6583","49,7479","261.0","https://cdc.dwd.de/rest/metadata/station/html/812300228391"
"217","Attenkam","11,3643","47,8774","670.0","https://cdc.dwd.de/rest/metadata/station/html/812300549031"
"2951","Lenzen/Elbe","11,4864","53,1007","20.0","https://cdc.dwd.de/rest/metadata/station/html/812300850983"
"7364","Jeßnitz","12,3053","51,6818","74.0","https://cdc.dwd.de/rest/metadata/station/html/812300882791"
"5490","Wernigerode","10,7686","51,8454","233.0","https://cdc.dwd.de/rest/metadata/station/html/812300351911"
"5664","Wolfach","8,2391","48,2953","296.0","https://cdc.dwd.de/rest/metadata/station/html/812300425511"
"1451","Freiburg/Elbe","9,2493","53,8277","2.0","https://cdc.dwd.de/rest/metadata/station/html/812300448615"
"1975","Hamburg-Fuhlsbüttel","9,9881","53,6332","11.0","https://cdc.dwd.de/rest/metadata/station/html/812300355047"
"3362","Mühlacker","8,8735","48,9721","243.0","https://cdc.dwd.de/rest/metadata/station/html/812300183463"
"6266","Huy-Pabstorf","10,9626","52,0304","112.0","https://cdc.dwd.de/rest/metadata/station/html/812300470439"
"4559","Schorndorf-Knöbling","12,6175","49,1644","398.0","https://cdc.dwd.de/rest/metadata/station/html/812300836007"
"3631","Norderney","7,1519","53,7123","11.0","https://cdc.dwd.de/rest/metadata/station/html/812300922727"
"1255","Eppingen-Elsenz","8,8483","49,1661","226.0","https://cdc.dwd.de/rest/metadata/station/html/812300884647"
"5300","Waldems-Reinborn","8,3607","50,2596","380.0","https://cdc.dwd.de/rest/metadata/station/html/812300540327"
"4063","Rahden-Kleinendorf","8,5906","52,4461","41.0","https://cdc.dwd.de/rest/metadata/station/html/812300700647"
"3278","Metzingen","9,2734","48,5377","354.0","https://cdc.dwd.de/rest/metadata/station/html/812300477287"
"954","UFS Deutsche Bucht","7,4587","54,1796","0.0","https://cdc.dwd.de/rest/metadata/station/html/812300942695"
"96","Neuruppin-Alt Ruppin","12,8518","52,9437","50.0","https://cdc.dwd.de/rest/metadata/station/html/812301005418"
"691","Bremen","8,7981","53,0451","4.0","https://cdc.dwd.de/rest/metadata/station/html/812300149799"
